,new_title,new_description,new_link,new_price,new_ship_price,new_ship_how
10,Torus Knot 3D Illusion Light  3D LED Illusion Lamp  16 Color LED Light,"This torus knot 3D illusion lamp will bring a unique and modern touch to any room or office.  This custom 3D illusion lamp precision laser cut and hand polished for amazing clarity and brightness.  Made to order with 1/8&quot; acrylic and brought to life using the latest in laser technology this 3D light will be sure to impress friends and family alike.  The lamp base is powered by a USB cable (included) or 3-AA batteries (not included).  The included infrared remote control allows you to display 16 different colors, 4 different light shows and adjust the brightness all without moving from your favorite spot.  Make this light even more special with a message or name engraved right on the lamp!  For an additional fee, you can choose the custom message/name option above to create a true one-of-a-kind lamp.  Want to create an even more amazing piece?  Contact us today to discuss our custom options.",https://www.etsy.com/listing/746978260/torus-knot-3d-illusion-light-3d-led?,34.99,Jan 16-23 ,"     Ships from Verona, WI "
11,"Wine Bottle, Wine Glasses and Grapes Jumbo Personalized LED 3D Illusion Lamp Bar Decor Kitchen Decor Housewarming Gift Wedding Gift","You will be Amazed by the Size, Beauty and Versatility of LED Illusion Lamps!!     Although they appear to be a Full Size Lamp, they are only 1/8&quot; in Width, Weigh less than 1lb, and are Completely Portable!     Made by Laser Engraving on High Quality CAST Acrylic, they are Resistant to Shattering when Broken*.   They can be used as a Night Light, as well as a Decorative Light, and Compliment so many Decor&#39;s!      Children, Teens, Adults, as well as the Elderly will Love using them as a Night Light with the Convenient On/Off Capability either by using the Included Remote Control or one Touch of your Finger to the Base.  Or use the Dimmer to Adjust the Light to just the   Right Amount to Leave on All Night.    The Rechargeable Lithium Battery will Save you Money, or Leave the USB Cable Plugged into a Charger...LED Lighting is still a Fraction of the Cost of Traditional Light Bulbs, and LED Lighting will Never Get Hot or Overheat!!      In Addition, they are a Beautiful Décor item and create a Fun, Warm and Inviting Atmosphere for a Coffee Bar, Traditional Bar, Man Cave, Patio, Deck, Game Room, Mood  Lighting…the uses are Limitless!!      LED Illusion Lamps can be Personalized for only $10 and make a Great Gift!!  Birthday, Anniversary, New Baby, Mother&#39;s Day, Father&#39;s Day, Housewarming, Wedding Gift, and so Many More!      &gt; Send one to College with your Child to Remind them of Home!  &gt; What Parent or Grandparent wouldn&#39;t enjoy a Personalized Gift to remind them how Special they are??  &gt; Give a Personalized Lamp that can also be a Keepsake for a Newborn!    &gt; Ease your Child&#39;s Fear of the Dark by knowing their Lamp is easily accessible.  &gt; Set the Mode to &quot;Smooth&quot; or &quot;Fade&quot; and even Babies and Toddlers will Enjoy the Light Show as it  Lulls them to Sleep.    &gt; They are also Excellent Mood  Lighting for a Romantic Atmosphere :)     The Deluxe Base Includes a Remote Control with 16 Colors, 5 Modes and a Dimmer Control as well as a Rechargeable 3.7 volt Lithium Battery and USB power cable.  The Base can also be turned On/Off and the Colors changed Simply by touching your Finger on the Base!!  The Lithium Battery capacity is 1200 milliampere and can last about 24 hours if it is fully charged*.        Insert Base of Acrylic Plate into the Deluxe LED Light Base and Turn it on!!  Simple as That!  Wine, Glasses & Grapes LED Lamp Measures a Large 12&quot; Tall and 9&quot; Wide.  Included: &gt;&gt;Engraved Acrylic Plate &gt;&gt;Deluxe LED Light Base with Rechargeable Lithium Battery and Remote Control &gt;&gt;USB Charger Cable  *Notes -  Acrylic is NOT unbreakable, but will not Shatter like Regular Glass. Charging with a USB accelerated charger is Not recommended.",https://www.etsy.com/listing/695742059/wine-bottle-wine-glasses-and-grapes?,49.60,Jan 13-21 ,     Ships from United States 
12,"3D Printed Jupiter Lithophane Night Light, Wall Plug In, Boy Girl Bedroom, Living Room, Game Room, Hallway, Bathroom, Kids, Nursery, Gift","Hey, If you don&#39;t like this planet, buy your own!  A Jupiter lithophane night light is a perfect gift or keepsake for those you care about. This night light is a three-dimensional globe highlighting the surface of Jupiter by way of lithophane design.   Lithophanes are three-dimensional images that allow light to pass through thin areas, with less light passing through the thicker areas, making them appear darker.  These make great gifts for birthdays, anniversaries, weddings, graduations, births, memorials, dinner parties, holidays, or any occasion you want to give someone a thoughtful gift.   Perfect for children&#39;s rooms, play rooms, game rooms, hallways, or anywhere with an electrical outlet.  The material used is made from a plastic derived from corn. This means that it is renewable, recyclable, and eco-friendly due to being bio-degradable.   The night light ships complete and ready to use with a plug-in night light base, light bulb, and lithophane diffuser.  Dimensions: 4 inch diameter x 2.75 inches deep    UPGRADE – Automatic light-sensing night light base.  Upgrade your new Jupiter night light to automatically turn on when the room is dark and turn off when the room is bright.  Select the &quot;Automatic&quot; upgrade option from the drop down menu above.  Be ready for your next gifting occasion and ORDER NOW!  Shipping is FREE.  Visit our  store (https://www..com/shop/LithoNightLights) to view other great lithophane and night light gift ideas!  We will be adding many more night lights and lithophanes to our store, so add us to your “Favorites” list, and check back often for other great gift ideas.  We appreciate your business, and look forward to your order!",https://www.etsy.com/listing/882631315/3d-printed-jupiter-lithophane-night?,21.95,Jan 16-23 ,"     Ships from Utica, MI "
13,Horse 3D Lamp Night Light-Optical Illusion LED Lamp-Bedroom Lamp-Boy Dorm Room Decoration-Birthday Gift for Him,"* It is nice for displaying in bedroom, living room, office, as a night lamp or any way you want to use it. * Picking your favorite design from abundant collections, it is perfect as an Anniversary gift, gift for profession of love, Birthday gift, Party decoration, home decoration etc.",https://www.etsy.com/listing/916933912/horse-3d-lamp-night-light-optical?,49.99,Jan 21-Feb 1 ,     Ships from United States 
14,"Among Us 3D Table Lamp,Among Us Night Light,LED Ambient Light,Night Lights 3D Lamp,Led Lights Bedroom Decoration Lamp Gift Birthday Gift","💡3D Visualization Night Lamp - Crewmates Game Among US 7 Colors Character LED Sensor Lights Party Xmas Holidays Desktop Table Decor (Size : Lava Lamp Base) 💡3D Visual and Practical: Novelty 3D illusion night light has a nice hologram effect, and much better when in the dark.USB Powered for Low Engergy Consumption, convenience for night operations. 💡7 Color Without Remote Control: Red, green, blue, yellow, cyan, purple and white, color will change between these 7 colors by each finger touch on the base. Touch and hold for up to 2 seconds to turn off the light. 💡16 Colors with Remote Control: Red, green, blue, yellow, cyan, purple and white, the color will change between these 7 colors by each finger touch on the base. Touch and hold for up to 2 seconds to turn off the light. Remote Control with On/Off, 16 colors, adjustable brightness, flash mode, smooth mode. 💡Ideal Gift: Great Present for Christmas, birthday, holiday, festival, promotional etc. Ideal gifts for kids, teenagers, adults, families, friends, boyfriend, girlfriend and lovers.",https://www.etsy.com/listing/934144061/among-us-3d-table-lampamong-us-night?,34.99,Jan 12-15 ,     Ships from United States 
15,3D Night light Children’s Bedroom Plug-in LED Lighting Acrylic Valentine’s Day Gift Moonlight Adult Master Bedroom Table Lamp,"The engraved optical acrylic flat panel display creates a magnificent 3D lighting effect. This kind of gift will excite children. They will not feel lonely and will no longer be afraid of sleeping alone.  LED lights: Children will not be bothered by too many styles and luminous effects.  10 styles: more styles, more fun. It is easy to remove from the lamp holder and place it on another panel.  Touch: You can use touch control, especially when you need more features. 10 styles for you to choose: through wall charger; USB cable; battery AA * 3 (not included)  Great gift ideas: perfect gift ideas for birthdays, Christmas, Thanksgiving, suitable for kids, boys, girls. Used in family, bedroom, children&#39;s room, living room party, etc.",https://www.etsy.com/listing/932852575/3d-night-light-childrens-bedroom-plug-in?,39.99,Jan 21-Feb 4 ,     Ships from United States 
16,3D Wolf Night Light LED Desk Remote Touch Lamp with 7 Color Changing Options,"3D Night Light LED Desk Remote Touch Lamp with 7 Color Changing Options a Perfect A perfect gift for birthday, anniversary, housewarming, graduation, valentines day, Mothers Day, get well gift and other special occasions.  Product Highlights Color Changing LED Light - ideal for home decor, as night lamp or a kids toy 7 Different Modes - 6 modes have solid colors and mode 7 changes to different colors continuously Premium Design Pattern - the pattern displays on a clear acrylic plate Powered by USB or Three AA Batteries - connect to a PC, laptop, any USB port or power by AA batteries Durable Design - built to last a long time  Additional Features 3D Stereoscopic Effect: laser sculpted with more than 95% light transmittal 7 Colors Changes: Red, Green, Blue, Yellow, Cyan, Pink, White Automatic Color Changing Mode: Press the &quot;touch-button&quot; on the base and cycle to the last color. Then press it again to activate auto color changing mode Environmentally Friendly: low energy consumption (Power usage: 0.012kw.h/24 hours; LED life span: 10,000 hours) Light Weight: acrylic top is only 4mm thick while allowing light to pass through acrylic glass Easy to Operate: Using AA batteries or the USB cable for power  Product Specifications Input Voltage: 4.5V-5V Power Input: USB Cable (included) or 3 x AA Batteries (not included) Output Power: 2-2.5 watts ABS Base Size: 3.46 x 3.46 x 1.65 inches / 8.8 x 8.8 x 4.2 cm USB cable: 150cm / 59in Weight: Less than 5 ounces  Package Includes 1x Acrylic Plate 1x ABS Base 1x USB cable 1x Remote",https://www.etsy.com/listing/864993053/3d-wolf-night-light-led-desk-remote?,26.00,Jan 13-21 ,     Ships from United States 
17,Anime Naruto 3d Lamp Itachi Uchiha Figure Nightlight for Child Bedroom Decor Cool Birthday Gift Colorful Led Night Light Itachi,"Main Features: ❖ 7 Colors change: red, green, blue, yellow, cyan, purple and white ❖ Touch Mode: Please press the touch button once to change one color, if press 8th times, the colors will be changed automatically. Hold switch down for 2 seconds to turn off. ❖ Remoter Control Mode: Remote Control with On/Off, 16 colors, adjustable brightness, flash mode, smooth mode.  ❖ Low consumption, will not be hot after long time working, Light source use the high-quality LED, light is soft and uniform, no dazzling, non-flicker, won&#39;t hurt eyes. ❖ Night lights for kids, girls, boys, baby, women. Widely used in various environment, as decorative lights for home, bedroom, child room, living room, bar, shop, Cafe, restaurant, party, club and anywhere you like. Or as gift ideas or gadgets for kids, girls, boys, baby, women.  Parameter: light panel material: optical acrylic Power spend: 0.012kw.h/24 hours LED life span: 10000hours  Power:0.5W Voltage: 5V Light color: Red, Green, Blue, Yellow, Cyan, Purple, White (can fixed one color or 7 color gradual changing) Consumption: 3W Power supply: By connecting USB interface or using 3*AA batteries(not included) package size: 22cm*16cm*6cm  Package includes: ✔1* Optical acrylic panel, size in 200*150*4mm ✔1* Lamp ABS Base, size:φ85*40mm  ✔1* Remote control ✔1* Micro USB cable, length: 1m ✔1* User manual  PLEASE NOTE: ●Please remove the surface protective film before use. ●To avoid leaving fingerprint on the acrylic panel surface, please only hold the board on the edge instead of front.",https://www.etsy.com/listing/934154003/anime-naruto-3d-lamp-itachi-uchiha?,24.99,1–2 weeks,     Ships from United States 
18,3D Lamp Among Us Impostor (16 Color Remote),"Main Features: ❖ NEW white textured lamp base design also lights up when unit is powered on instead of normal black base. ❖ Remote Control with On/Off, 16 colors, adjustable brightness, flash mode, smooth mode. ❖ Low power consumption, high quality LEDs are bright but will not overheat.  Package includes: ✔ 1* Optical acrylic panel, size: 200*150*4mm ✔ 1* LED ABS Base, size: 85*40mm ✔ 1* Remote control ✔ 1* Micro USB cable, length: 1m ✔ 1* User manual  IMPORTANT: ● Please remove protective film before use. ● To avoid leaving fingerprints, only hold the edge instead of front.  SHIPPING: We continue to offer FREE international shipping, however, due to COVID, orders may be held at customs which may increase shipping times. 100% guaranteed delivery! Please contact us about any concerns :)",https://www.etsy.com/listing/919145190/3d-lamp-among-us-impostor-16-color?,30.41,Jan 26-Feb 17 ,     Ships from United States 
19,Batman 3D Illusion Light  3D LED Illusion Lamp  16 Color LED Light,"This 3D Batman illusion lamp will be an amazing addition to any true fan&#39;s room or office.  This custom 3D illusion lamp precision laser cut and hand polished for amazing clarity and brightness.  Made to order with 1/8&quot; acrylic and brought to life using the latest in laser technology this 3D light will be sure to impress friends and family alike.  The lamp base is powered by a USB cable (included) or 3-AA batteries (not included).  The included infrared remote control allows you to display 16 different colors, 4 different light shows and adjust the brightness all without moving from your favorite spot.  Make this light even more special with a message or name engraved right on the lamp!  For an additional fee, you can choose the custom message/name option above to create a true one-of-a-kind lamp.  Want to create an even more amazing piece?  Contact us today to discuss our custom options.",https://www.etsy.com/listing/746971274/batman-3d-illusion-light-3d-led-illusion?,34.99,Jan 16-23 ,"     Ships from Verona, WI "
20,Solar System 3D Illusion Light  Outer Space 3D LED Illusion Lamp  Night Light,"Bring the entire solar system into your room or office with this 3D illusion lamp.  This custom 3D illusion lamp is precision laser cut and hand-polished for amazing clarity and brightness.  Made to order with 1/8&quot; acrylic and brought to life using the latest in laser technology this 3D light will be sure to impress friends and family alike.  The lamp base is powered by a USB cable (included) or 3-AA batteries (not included).  The included infrared remote control allows you to display 16 different colors, 4 different light shows, and adjust the brightness all without moving from your favorite spot.  Make this light even more special with a message or name engraved right on the lamp!  For an additional fee, you can choose the custom message/name option above to create a true one-of-a-kind lamp.  Want to create an even more amazing piece?  Contact us today to discuss our custom options.",https://www.etsy.com/listing/898947178/solar-system-3d-illusion-light-outer?,34.99,Jan 16-23 ,"     Ships from Verona, WI "
21,"Train, Locomotive, Steam Engine 3D LED Lamp, Desk Lamp, night light, Gift, For Dad, For Kids, LED Lamp, Great Birthday Gift","Train, Locomotive LED LED Edge Lit Engraved Lamp.  Check out the incredible level of detail! We set ourselves apart from our competition with the most realistic designs you can find.  Personalization gives everything a special touch! Make it special for yourself or a special gift – ask us about making it your own at no extra cost!  Perfect for many settings including the kitchen, dining room, living room, office, kid&#39;s rooms, nursery and many more.  The versatile base provides lighting in 16 different colors, various levels of brightness and color switching modes. It can be operated with the included remote control or the touch-sensitive built-in switch. USB powered or battery (3 AAA not included) powered makes this product easily usable in all countries.  In addition to the designs listed, we can create an LED from virtually any image - just ask us. More designs are being added to our listings regularly. Other designs are available in our store:  https://www..com/shop/SouthernSkyeLaser  Please allow 1-3 days to manufacture - Proudly made in the USA. Thank you for supporting family-owned small businesses.",https://www.etsy.com/listing/752317698/train-locomotive-steam-engine-3d-led?,25.00,Jan 15-22 ,"     Ships from Atoka, TN "
22,Yoga Budha Namaste Zen Mood Jumbo Personalized LED 3D Illusion Lamp Improve your mood and outlook with this beautiful Lotus Leaf Lamp,"You will be Amazed by the Size, Beauty and Versatility of LED Illusion Lamps!!     Although they appear to be a Full Size Lamp, they are only 1/8&quot; in Width, Weigh less than 1lb, and are Completely Portable!     Made by Laser Engraving on High Quality CAST Acrylic, they are Resistant to Shattering when Broken*.   They can be used as a Night Light, as well as a Decorative Light, and Compliment so many Decor&#39;s!     Children, Teens, Adults, as well as the Elderly will Love using them as a Night Light with the Convenient On/Off Capability either by using the Included Remote Control or one Touch of your Finger to the Base.  Or use the Dimmer to Adjust the Light to just the   Right Amount to Leave on All Night. The Rechargeable Lithium Battery will Save you Money, or Leave the USB Cable Plugged into a Charger...LED Lighting is still a Fraction of the Cost of Traditional Light Bulbs, and LED Lighting will Never Get Hot or Overheat!! In Addition, they are a Beautiful Décor item and create a Warm and Inviting Atmosphere to a Yoga Studio, Zen Room, Coffee Bar, Traditional Bar, Man Cave, Patio, Deck, Game Room, Mood  Lighting…the uses are Limitless!!     LED Illusion Lamps can be Personalized for only $10 and make a Great Gift!!  Birthday, Anniversary, New Baby, Mother&#39;s Day, Father&#39;s Day, Housewarming, Wedding Gift, and so Many More!     Send one to College with your Child to Remind them of Home!  What Parent or Grandparent wouldn&#39;t enjoy a Personalized Gift to remind them how Special they are??  Give a Personalized Lamp that can also be a Keepsake for a Newborn!    Ease your Child&#39;s Fear of the Dark by knowing their Lamp is easily accessible.  Set the Mode to &quot;Smooth&quot; or &quot;Fade&quot; and even Babies and Toddlers will Enjoy the Light Show as it  Lulls them to Sleep.    They are also Excellent Mood  Lighting for a Romantic Atmosphere :)    The Deluxe Base Includes a Remote Control with 16 Colors, 5 Modes and a Dimmer Control as well as a Rechargeable 3.7 volt Lithium Battery and USB power cable.  The Base can also be turned On/Off and the Colors changed Simply by touching your Finger on the Base!!  The Lithium Battery capacity is 1200 milliampere and can last about 24 hours if it is fully charged*.   Insert Base of Acrylic Plate into the Deluxe LED Light Base and Turn it on!!  Simple as That!   Wine Bottle, Glasses & Grapes LED Lamp Measures a Large 12&quot; Tall and 9&quot; Wide. Included: Engraved Acrylic Plate Deluxe LED Light Base with Rechargeable Lithium Battery and Remote Control USB Charger Cable *Notes - Acrylic is NOT unbreakable, but will not Shatter like Regular Glass.Charging with a USB accelerated charger is Not recommended.      *Greenery Not Included",https://www.etsy.com/listing/746357076/yoga-budha-namaste-zen-mood-jumbo?,43.85,Jan 13-21 ,     Ships from United States 
23,"Butterfly Optical Illusion 3-D LED Desk, Table, Night Lamp","Butterfly Multicolored LED Light Great as a decorative light or as a nightlight.  Precision Laser Cut and Etched acrylic is edge lit with a soft glow to provide a 3-D illusion affect, especially in a darken area.  Butterfly: 7.7 inches tall x 6.8 inches wide (on base)   Standard Round Use the Smart Touch button to change between 7 Colors: Red, Green, Blue, Yellow, Cyan, Pink, White. On the last color touch button again for automatic color changing mode.  Remote Control Base: The Round Base comes with a Remote Control and features:  IR Remote Control 24 key remote 16 light colors Adjust color changing speed slow gradual, fast gradual, fast flash and slow flash mode Adjust Brightness Note: Bases will work as the standard Round Base with or without remote or App.  The LED base is powered by 3-AA batteries (not included) or included USB cable with wall adapter.  Image is done on a whole piece 4 mm Clear Acrylic (Plexiglas) which is a versatile plastic material that has great impact strength and exceptional optical quality. Unlike regular glass, acrylic  is resistant to shattering like glass when broken (please note, Plexiglas still breakable like other Plexiglas sheets, but resist shattering like regular glass).  Our artwork is laser engraved and packaged with LED base. All shipped within the United States.  Approximate Size:                         Acrylic Artwork Only: 6.9&quot; H x 6.8 &quot; W x 4 mm D                          Base: 1 1/2 inches tall by 3 3/8 inches in Diameter             Package Include: 1 - 3-D illusion lamp (Acrylic panel and ABS Base)                              1 - USB cable with Wall Plug Adapter",https://www.etsy.com/listing/614966387/butterfly-optical-illusion-3-d-led-desk?,33.95,Jan 19-25 ,"     Ships from Guyton, GA "
24,Kids Night Light Gift Led Touch Sensor Colorful Bedroom Nightlight Anime Hunter X Hunter Decor Light Cool 3d Lamp Hisoka Gadgets,"Main Features: ❖ 7 Colors change: red, green, blue, yellow, cyan, purple and white ❖ Touch Mode: Please press the touch button once to change one color, if press 8th times, the colors will be changed automatically. Hold switch down for 2 seconds to turn off. ❖ Remoter Control Mode: Remote Control with On/Off, 16 colors, adjustable brightness, flash mode, smooth mode.  ❖ Low consumption, will not be hot after long time working, Light source use the high-quality LED, light is soft and uniform, no dazzling, non-flicker, won&#39;t hurt eyes. ❖ Night lights for kids, girls, boys, baby, women. Widely used in various environment, as decorative lights for home, bedroom, child room, living room, bar, shop, Cafe, restaurant, party, club and anywhere you like. Or as gift ideas or gadgets for kids, girls, boys, baby, women.  Parameter: light panel material: optical acrylic Power spend: 0.012kw.h/24 hours LED life span: 10000hours  Power:0.5W Voltage: 5V Light color: Red, Green, Blue, Yellow, Cyan, Purple, White (can fixed one color or 7 color gradual changing) Consumption: 3W Power supply: By connecting USB interface or using 3*AA batteries(not included) package size: 22cm*16cm*6cm  Package includes: ✔1* Optical acrylic panel, size in 200*150*4mm ✔1* Lamp ABS Base, size:φ85*40mm  ✔1* Remote control ✔1* Micro USB cable, length: 1m ✔1* User manual  PLEASE NOTE: ●Please remove the surface protective film before use. ●To avoid leaving fingerprint on the acrylic panel surface, please only hold the board on the edge instead of front.",https://www.etsy.com/listing/931165539/kids-night-light-gift-led-touch-sensor?,25.99,1–2 weeks,     Ships from United States 
25,"Baby Yoda - “The Child” 3D Night Light Multi Color Changing Illusion Lamp For Children, Kids, Girls/Boys Animal Fan Gift/Birthday, Grogu.","Each 3D LED Lamp is laser engraved to perfection. A 3D LED Lamp is a combination of art and technology that creates an optical 3D illusion and plays tricks on the eyes. From far,you will see the design,but as you get up close,you see a thin acrylic glass sheet that&#39;s completely flat.It&#39;s bound to dazzle and impress your guests while always lighting up the room and your lives. LED Lamp flashes, sets, or fades to 7 different colors. Perfect gift for any occasion. Comes new in a box with a USB, lamp base, and acrylic plate. Choose from Black or White Base.  Visit our Store for many more designs :  https://www..com/shop/ArtByLaser?ref=seller-platform-mcnav",https://www.etsy.com/listing/924084709/baby-yoda-the-child-3d-night-light-multi?,28.50,Jan 13-26 ,     Ships from United States 
